roll_no,name,branch,year,course_code,email
2026ME1062,Student_Name_62,ME,1,ME205,student62@college.edu
2026EE1063,Student_Name_63,EE,4,EE408,student63@college.edu
2026CS1064,Student_Name_64,CS,4,CS401,student64@college.edu
2026IT1065,Student_Name_65,IT,3,IT302,student65@college.edu
2026IT1066,Student_Name_66,IT,4,IT302,student66@college.edu
2026IT1067,Student_Name_67,IT,4,IT302,student67@college.edu
2026EE1068,Student_Name_68,EE,4,EE408,student68@college.edu
2026IT1069,Student_Name_69,IT,1,IT302,student69@college.edu
2026CE1070,Student_Name_70,CE,4,CE101,student70@college.edu
2026ME1071,Student_Name_71,ME,2,ME205,student71@college.edu
2026CE1072,Student_Name_72,CE,3,CE101,student72@college.edu
2026EE1073,Student_Name_73,EE,1,EE408,student73@college.edu
2026CE1074,Student_Name_74,CE,4,CE101,student74@college.edu
2026CE1075,Student_Name_75,CE,4,CE101,student75@college.edu
2026CS1076,Student_Name_76,CS,4,CS401,student76@college.edu
2026IT1077,Student_Name_77,IT,1,IT302,student77@college.edu
2026IT1078,Student_Name_78,IT,2,IT302,student78@college.edu
2026ME1079,Student_Name_79,ME,1,ME205,student79@college.edu
2026ME1080,Student_Name_80,ME,4,ME205,student80@college.edu
2026ME1081,Student_Name_81,ME,1,ME205,student81@college.edu
2026CS1082,Student_Name_82,CS,1,CS401,student82@college.edu
2026ME1083,Student_Name_83,ME,4,ME205,student83@college.edu
2026IT1084,Student_Name_84,IT,1,IT302,student84@college.edu
2026CE1085,Student_Name_85,CE,1,CE101,student85@college.edu
2026IT1086,Student_Name_86,IT,4,IT302,student86@college.edu
2026EE1087,Student_Name_87,EE,2,EE408,student87@college.edu
2026IT1088,Student_Name_88,IT,1,IT302,student88@college.edu
2026EE1089,Student_Name_89,EE,3,EE408,student89@college.edu
2026CS1090,Student_Name_90,CS,2,CS401,student90@college.edu
2026ME1091,Student_Name_91,ME,2,ME205,student91@college.edu
2026ME1092,Student_Name_92,ME,2,ME205,student92@college.edu
2026IT1093,Student_Name_93,IT,1,IT302,student93@college.edu
2026EE1094,Student_Name_94,EE,3,EE408,student94@college.edu
2026IT1095,Student_Name_95,IT,3,IT302,student95@college.edu
2026IT1096,Student_Name_96,IT,3,IT302,student96@college.edu
2026CE1097,Student_Name_97,CE,1,CE101,student97@college.edu
2026CE1098,Student_Name_98,CE,2,CE101,student98@college.edu
2026IT1099,Student_Name_99,IT,1,IT302,student99@college.edu
2026ME1100,Student_Name_100,ME,3,ME205,student100@college.edu
2026ME1101,Student_Name_101,ME,2,ME205,student101@college.edu
2026IT1102,Student_Name_102,IT,1,IT302,student102@college.edu
2026CS1103,Student_Name_103,CS,2,CS401,student103@college.edu
2026CS1104,Student_Name_104,CS,2,CS401,student104@college.edu
2026CE1105,Student_Name_105,CE,1,CE101,student105@college.edu
2026EE1106,Student_Name_106,EE,4,EE408,student106@college.edu
2026CS1107,Student_Name_107,CS,3,CS401,student107@college.edu
2026CE1108,Student_Name_108,CE,4,CE101,student108@college.edu
2026CS1109,Student_Name_109,CS,3,CS401,student109@college.edu
2026CE1110,Student_Name_110,CE,2,CE101,student110@college.edu
2026EE1111,Student_Name_111,EE,4,EE408,student111@college.edu
2026IT1112,Student_Name_112,IT,3,IT302,student112@college.edu
2026ME1113,Student_Name_113,ME,4,ME205,student113@college.edu
2026EE1114,Student_Name_114,EE,3,EE408,student114@college.edu
2026EE1115,Student_Name_115,EE,1,EE408,student115@college.edu
2026EE1116,Student_Name_116,EE,2,EE408,student116@college.edu
2026IT1117,Student_Name_117,IT,4,IT302,student117@college.edu
2026CE1118,Student_Name_118,CE,3,CE101,student118@college.edu
2026CE1119,Student_Name_119,CE,4,CE101,student119@college.edu
2026CE1120,Student_Name_120,CE,3,CE101,student120@college.edu
2026CE1121,Student_Name_121,CE,1,CE101,student121@college.edu
2026ME1122,Student_Name_122,ME,1,ME205,student122@college.edu
2026ME1123,Student_Name_123,ME,1,ME205,student123@college.edu
2026CS1124,Student_Name_124,CS,4,CS401,student124@college.edu
2026ME1125,Student_Name_125,ME,1,ME205,student125@college.edu
2026IT1126,Student_Name_126,IT,1,IT302,student126@college.edu
2026CS1127,Student_Name_127,CS,3,CS401,student127@college.edu
2026ME1128,Student_Name_128,ME,3,ME205,student128@college.edu
2026CE1129,Student_Name_129,CE,2,CE101,student129@college.edu
2026IT1130,Student_Name_130,IT,4,IT302,student130@college.edu
2026IT1131,Student_Name_131,IT,1,IT302,student131@college.edu
2026ME1132,Student_Name_132,ME,4,ME205,student132@college.edu
2026CS1133,Student_Name_133,CS,1,CS401,student133@college.edu
2026IT1134,Student_Name_134,IT,3,IT302,student134@college.edu
2026CS1135,Student_Name_135,CS,1,CS401,student135@college.edu
2026CS1136,Student_Name_136,CS,3,CS401,student136@college.edu
2026CS1137,Student_Name_137,CS,3,CS401,student137@college.edu
2026CS1138,Student_Name_138,CS,2,CS401,student138@college.edu
2026IT1139,Student_Name_139,IT,2,IT302,student139@college.edu
2026IT1140,Student_Name_140,IT,1,IT302,student140@college.edu
2026EE1141,Student_Name_141,EE,1,EE408,student141@college.edu
2026EE1142,Student_Name_142,EE,4,EE408,student142@college.edu
2026CS1143,Student_Name_143,CS,1,CS401,student143@college.edu
2026CS1144,Student_Name_144,CS,1,CS401,student144@college.edu
2026IT1145,Student_Name_145,IT,2,IT302,student145@college.edu
2026CE1146,Student_Name_146,CE,2,CE101,student146@college.edu
2026ME1147,Student_Name_147,ME,3,ME205,student147@college.edu
2026EE1148,Student_Name_148,EE,2,EE408,student148@college.edu
2026CE1149,Student_Name_149,CE,2,CE101,student149@college.edu
2026CS1150,Student_Name_150,CS,4,CS401,student150@college.edu
2026CS1151,Student_Name_151,CS,3,CS401,student151@college.edu
2026IT1152,Student_Name_152,IT,1,IT302,student152@college.edu
2026CS1153,Student_Name_153,CS,2,CS401,student153@college.edu
2026ME1154,Student_Name_154,ME,4,ME205,student154@college.edu
2026CE1155,Student_Name_155,CE,1,CE101,student155@college.edu
2026CE1156,Student_Name_156,CE,1,CE101,student156@college.edu
2026ME1157,Student_Name_157,ME,3,ME205,student157@college.edu
2026IT1158,Student_Name_158,IT,3,IT302,student158@college.edu
2026EE1159,Student_Name_159,EE,3,EE408,student159@college.edu
2026EE1160,Student_Name_160,EE,3,EE408,student160@college.edu
2026EE1161,Student_Name_161,EE,4,EE408,student161@college.edu
2026CS1162,Student_Name_162,CS,1,CS401,student162@college.edu
2026EE1163,Student_Name_163,EE,2,EE408,student163@college.edu
2026IT1164,Student_Name_164,IT,1,IT302,student164@college.edu
2026CS1165,Student_Name_165,CS,2,CS401,student165@college.edu
2026CE1166,Student_Name_166,CE,2,CE101,student166@college.edu
2026CS1167,Student_Name_167,CS,4,CS401,student167@college.edu
2026CS1168,Student_Name_168,CS,3,CS401,student168@college.edu
2026CE1169,Student_Name_169,CE,2,CE101,student169@college.edu
2026CS1170,Student_Name_170,CS,4,CS401,student170@college.edu
2026ME1171,Student_Name_171,ME,3,ME205,student171@college.edu
2026IT1172,Student_Name_172,IT,1,IT302,student172@college.edu
2026EE1173,Student_Name_173,EE,3,EE408,student173@college.edu
2026ME1174,Student_Name_174,ME,1,ME205,student174@college.edu
2026IT1175,Student_Name_175,IT,3,IT302,student175@college.edu
2026CS1176,Student_Name_176,CS,2,CS401,student176@college.edu
2026EE1177,Student_Name_177,EE,4,EE408,student177@college.edu
2026IT1178,Student_Name_178,IT,4,IT302,student178@college.edu
2026IT1179,Student_Name_179,IT,1,IT302,student179@college.edu
2026CE1180,Student_Name_180,CE,3,CE101,student180@college.edu
2026ME1181,Student_Name_181,ME,1,ME205,student181@college.edu
2026CE1182,Student_Name_182,CE,2,CE101,student182@college.edu
2026CS1183,Student_Name_183,CS,2,CS401,student183@college.edu
2026CS1184,Student_Name_184,CS,2,CS401,student184@college.edu
2026ME1185,Student_Name_185,ME,1,ME205,student185@college.edu
2026CE1186,Student_Name_186,CE,4,CE101,student186@college.edu
2026ME1187,Student_Name_187,ME,2,ME205,student187@college.edu
2026IT1188,Student_Name_188,IT,1,IT302,student188@college.edu
2026CS1189,Student_Name_189,CS,3,CS401,student189@college.edu
2026CS1190,Student_Name_190,CS,2,CS401,student190@college.edu
2026CE1191,Student_Name_191,CE,3,CE101,student191@college.edu
2026ME1192,Student_Name_192,ME,2,ME205,student192@college.edu
2026CS1193,Student_Name_193,CS,1,CS401,student193@college.edu
2026CS1194,Student_Name_194,CS,3,CS401,student194@college.edu
2026EE1195,Student_Name_195,EE,3,EE408,student195@college.edu
2026EE1196,Student_Name_196,EE,1,EE408,student196@college.edu
2026CE1197,Student_Name_197,CE,4,CE101,student197@college.edu
2026CE1198,Student_Name_198,CE,4,CE101,student198@college.edu
2026CE1199,Student_Name_199,CE,4,CE101,student199@college.edu
2026CE1200,Student_Name_200,CE,3,CE101,student200@college.edu
2026IT1201,Student_Name_201,IT,1,IT302,student201@college.edu
2026IT1202,Student_Name_202,IT,1,IT302,student202@college.edu
2026EE1203,Student_Name_203,EE,2,EE408,student203@college.edu
2026EE1204,Student_Name_204,EE,1,EE408,student204@college.edu
2026IT1205,Student_Name_205,IT,3,IT302,student205@college.edu
2026IT1206,Student_Name_206,IT,3,IT302,student206@college.edu
2026CS1207,Student_Name_207,CS,4,CS401,student207@college.edu
2026ME1208,Student_Name_208,ME,4,ME205,student208@college.edu
2026CE1209,Student_Name_209,CE,4,CE101,student209@college.edu
2026EE1210,Student_Name_210,EE,3,EE408,student210@college.edu
2026CS1211,Student_Name_211,CS,3,CS401,student211@college.edu
2026ME1212,Student_Name_212,ME,3,ME205,student212@college.edu
2026CE1213,Student_Name_213,CE,1,CE101,student213@college.edu
2026EE1214,Student_Name_214,EE,3,EE408,student214@college.edu
2026IT1215,Student_Name_215,IT,2,IT302,student215@college.edu
2026CE1216,Student_Name_216,CE,4,CE101,student216@college.edu
2026IT1217,Student_Name_217,IT,2,IT302,student217@college.edu
2026CE1218,Student_Name_218,CE,2,CE101,student218@college.edu
2026CE1219,Student_Name_219,CE,3,CE101,student219@college.edu
2026ME1220,Student_Name_220,ME,2,ME205,student220@college.edu
2026CS1221,Student_Name_221,CS,1,CS401,student221@college.edu
2026ME1222,Student_Name_222,ME,1,ME205,student222@college.edu
2026CE1223,Student_Name_223,CE,2,CE101,student223@college.edu
2026EE1224,Student_Name_224,EE,3,EE408,student224@college.edu
2026CE1225,Student_Name_225,CE,2,CE101,student225@college.edu
2026CS1226,Student_Name_226,CS,1,CS401,student226@college.edu
2026EE1227,Student_Name_227,EE,2,EE408,student227@college.edu
2026CS1228,Student_Name_228,CS,1,CS401,student228@college.edu
2026CS1229,Student_Name_229,CS,1,CS401,student229@college.edu
2026IT1230,Student_Name_230,IT,1,IT302,student230@college.edu
2026EE1231,Student_Name_231,EE,1,EE408,student231@college.edu
2026IT1232,Student_Name_232,IT,2,IT302,student232@college.edu
2026IT1233,Student_Name_233,IT,2,IT302,student233@college.edu
2026ME1234,Student_Name_234,ME,3,ME205,student234@college.edu
2026EE1235,Student_Name_235,EE,3,EE408,student235@college.edu
2026CS1236,Student_Name_236,CS,2,CS401,student236@college.edu
2026CS1237,Student_Name_237,CS,3,CS401,student237@college.edu
2026EE1238,Student_Name_238,EE,1,EE408,student238@college.edu
2026CS1239,Student_Name_239,CS,2,CS401,student239@college.edu
2026CE1240,Student_Name_240,CE,2,CE101,student240@college.edu
2026CS1241,Student_Name_241,CS,4,CS401,student241@college.edu
2026IT1242,Student_Name_242,IT,2,IT302,student242@college.edu
2026ME1243,Student_Name_243,ME,3,ME205,student243@college.edu
2026IT1244,Student_Name_244,IT,4,IT302,student244@college.edu
2026ME1245,Student_Name_245,ME,2,ME205,student245@college.edu
2026CE1246,Student_Name_246,CE,4,CE101,student246@college.edu
2026CS1247,Student_Name_247,CS,1,CS401,student247@college.edu
2026ME1248,Student_Name_248,ME,1,ME205,student248@college.edu
2026CS1249,Student_Name_249,CS,3,CS401,student249@college.edu
2026EE1250,Student_Name_250,EE,4,EE408,student250@college.edu
2026ME1251,Student_Name_251,ME,2,ME205,student251@college.edu
2026EE1252,Student_Name_252,EE,2,EE408,student252@college.edu
2026CS1253,Student_Name_253,CS,2,CS401,student253@college.edu
2026EE1254,Student_Name_254,EE,3,EE408,student254@college.edu
2026ME1255,Student_Name_255,ME,1,ME205,student255@college.edu
2026IT1256,Student_Name_256,IT,2,IT302,student256@college.edu
2026IT1257,Student_Name_257,IT,1,IT302,student257@college.edu
2026CE1258,Student_Name_258,CE,2,CE101,student258@college.edu
2026ME1259,Student_Name_259,ME,4,ME205,student259@college.edu
2026IT1260,Student_Name_260,IT,2,IT302,student260@college.edu
2026EE1261,Student_Name_261,EE,3,EE408,student261@college.edu
2026EE1262,Student_Name_262,EE,4,EE408,student262@college.edu
2026ME1263,Student_Name_263,ME,4,ME205,student263@college.edu
2026IT1264,Student_Name_264,IT,4,IT302,student264@college.edu
2026EE1265,Student_Name_265,EE,2,EE408,student265@college.edu
2026EE1266,Student_Name_266,EE,3,EE408,student266@college.edu
2026IT1267,Student_Name_267,IT,4,IT302,student267@college.edu
2026CE1268,Student_Name_268,CE,2,CE101,student268@college.edu
2026IT1269,Student_Name_269,IT,2,IT302,student269@college.edu
2026CS1270,Student_Name_270,CS,2,CS401,student270@college.edu
2026EE1271,Student_Name_271,EE,1,EE408,student271@college.edu
2026ME1272,Student_Name_272,ME,4,ME205,student272@college.edu
2026IT1273,Student_Name_273,IT,4,IT302,student273@college.edu
2026CE1274,Student_Name_274,CE,3,CE101,student274@college.edu
2026ME1275,Student_Name_275,ME,3,ME205,student275@college.edu
2026IT1276,Student_Name_276,IT,2,IT302,student276@college.edu
2026IT1277,Student_Name_277,IT,2,IT302,student277@college.edu
2026IT1278,Student_Name_278,IT,4,IT302,student278@college.edu
2026ME1279,Student_Name_279,ME,2,ME205,student279@college.edu
2026CS1280,Student_Name_280,CS,4,CS401,student280@college.edu
2026EE1281,Student_Name_281,EE,3,EE408,student281@college.edu
2026ME1282,Student_Name_282,ME,2,ME205,student282@college.edu
2026CS1283,Student_Name_283,CS,4,CS401,student283@college.edu
2026EE1284,Student_Name_284,EE,1,EE408,student284@college.edu
2026CE1285,Student_Name_285,CE,3,CE101,student285@college.edu
2026CS1286,Student_Name_286,CS,1,CS401,student286@college.edu
2026CE1287,Student_Name_287,CE,1,CE101,student287@college.edu
2026EE1288,Student_Name_288,EE,2,EE408,student288@college.edu
2026CS1289,Student_Name_289,CS,3,CS401,student289@college.edu
2026ME1290,Student_Name_290,ME,4,ME205,student290@college.edu
2026IT1291,Student_Name_291,IT,3,IT302,student291@college.edu
2026EE1292,Student_Name_292,EE,3,EE408,student292@college.edu
2026ME1293,Student_Name_293,ME,1,ME205,student293@college.edu
2026EE1294,Student_Name_294,EE,3,EE408,student294@college.edu
2026CE1295,Student_Name_295,CE,4,CE101,student295@college.edu
2026IT1296,Student_Name_296,IT,3,IT302,student296@college.edu
2026CS1297,Student_Name_297,CS,1,CS401,student297@college.edu
2026EE1298,Student_Name_298,EE,4,EE408,student298@college.edu
2026CE1299,Student_Name_299,CE,4,CE101,student299@college.edu
2026ME1300,Student_Name_300,ME,1,ME205,student300@college.edu
2026CE1301,Student_Name_301,CE,4,CE101,student301@college.edu
2026EE1302,Student_Name_302,EE,4,EE408,student302@college.edu
2026EE1303,Student_Name_303,EE,2,EE408,student303@college.edu
2026ME1304,Student_Name_304,ME,2,ME205,student304@college.edu
2026IT1305,Student_Name_305,IT,4,IT302,student305@college.edu
2026EE1306,Student_Name_306,EE,2,EE408,student306@college.edu
2026CS1307,Student_Name_307,CS,3,CS401,student307@college.edu
2026EE1308,Student_Name_308,EE,3,EE408,student308@college.edu
2026CS1309,Student_Name_309,CS,2,CS401,student309@college.edu
2026IT1310,Student_Name_310,IT,3,IT302,student310@college.edu
2026EE1311,Student_Name_311,EE,2,EE408,student311@college.edu
2026CE1312,Student_Name_312,CE,4,CE101,student312@college.edu
2026EE1313,Student_Name_313,EE,4,EE408,student313@college.edu
2026CE1314,Student_Name_314,CE,2,CE101,student314@college.edu
2026CE1315,Student_Name_315,CE,3,CE101,student315@college.edu
2026ME1316,Student_Name_316,ME,4,ME205,student316@college.edu
2026CS1317,Student_Name_317,CS,3,CS401,student317@college.edu
2026ME1318,Student_Name_318,ME,1,ME205,student318@college.edu
2026CS1319,Student_Name_319,CS,2,CS401,student319@college.edu
2026EE1320,Student_Name_320,EE,1,EE408,student320@college.edu
2026ME1321,Student_Name_321,ME,3,ME205,student321@college.edu
2026ME1322,Student_Name_322,ME,4,ME205,student322@college.edu
2026IT1323,Student_Name_323,IT,2,IT302,student323@college.edu
2026CE1324,Student_Name_324,CE,1,CE101,student324@college.edu
2026IT1325,Student_Name_325,IT,1,IT302,student325@college.edu
2026ME1326,Student_Name_326,ME,3,ME205,student326@college.edu
2026ME1327,Student_Name_327,ME,3,ME205,student327@college.edu
2026IT1328,Student_Name_328,IT,2,IT302,student328@college.edu
2026EE1329,Student_Name_329,EE,4,EE408,student329@college.edu
2026CS1330,Student_Name_330,CS,1,CS401,student330@college.edu
2026IT1331,Student_Name_331,IT,3,IT302,student331@college.edu
2026CS1332,Student_Name_332,CS,2,CS401,student332@college.edu
2026CE1333,Student_Name_333,CE,3,CE101,student333@college.edu
2026CE1334,Student_Name_334,CE,2,CE101,student334@college.edu
2026IT1335,Student_Name_335,IT,4,IT302,student335@college.edu
2026ME1336,Student_Name_336,ME,1,ME205,student336@college.edu
2026EE1337,Student_Name_337,EE,3,EE408,student337@college.edu
2026IT1338,Student_Name_338,IT,1,IT302,student338@college.edu
2026CS1339,Student_Name_339,CS,2,CS401,student339@college.edu
2026CE1340,Student_Name_340,CE,3,CE101,student340@college.edu
2026EE1341,Student_Name_341,EE,2,EE408,student341@college.edu
2026CS1342,Student_Name_342,CS,4,CS401,student342@college.edu
2026ME1343,Student_Name_343,ME,3,ME205,student343@college.edu
2026EE1344,Student_Name_344,EE,2,EE408,student344@college.edu
2026ME1345,Student_Name_345,ME,4,ME205,student345@college.edu
2026CE1346,Student_Name_346,CE,3,CE101,student346@college.edu
2026ME1347,Student_Name_347,ME,2,ME205,student347@college.edu
2026EE1348,Student_Name_348,EE,2,EE408,student348@college.edu
2026CE1349,Student_Name_349,CE,2,CE101,student349@college.edu
2026CE1350,Student_Name_350,CE,1,CE101,student350@college.edu
2026CS1351,Student_Name_351,CS,2,CS401,student351@college.edu
2026ME1352,Student_Name_352,ME,4,ME205,student352@college.edu
2026ME1353,Student_Name_353,ME,1,ME205,student353@college.edu
2026EE1354,Student_Name_354,EE,1,EE408,student354@college.edu
2026ME1355,Student_Name_355,ME,4,ME205,student355@college.edu
2026CE1356,Student_Name_356,CE,4,CE101,student356@college.edu
2026IT1357,Student_Name_357,IT,3,IT302,student357@college.edu
2026CS1358,Student_Name_358,CS,2,CS401,student358@college.edu
2026CS1359,Student_Name_359,CS,4,CS401,student359@college.edu
2026IT1360,Student_Name_360,IT,1,IT302,student360@college.edu
2026CE1361,Student_Name_361,CE,1,CE101,student361@college.edu
2026EE1362,Student_Name_362,EE,1,EE408,student362@college.edu
2026CE1363,Student_Name_363,CE,3,CE101,student363@college.edu
2026CE1364,Student_Name_364,CE,4,CE101,student364@college.edu
2026CS1365,Student_Name_365,CS,2,CS401,student365@college.edu
2026IT1366,Student_Name_366,IT,3,IT302,student366@college.edu
2026ME1367,Student_Name_367,ME,4,ME205,student367@college.edu
2026IT1368,Student_Name_368,IT,4,IT302,student368@college.edu
2026EE1369,Student_Name_369,EE,3,EE408,student369@college.edu
2026IT1370,Student_Name_370,IT,1,IT302,student370@college.edu
2026ME1371,Student_Name_371,ME,1,ME205,student371@college.edu
2026CE1372,Student_Name_372,CE,4,CE101,student372@college.edu
2026ME1373,Student_Name_373,ME,2,ME205,student373@college.edu
2026ME1374,Student_Name_374,ME,1,ME205,student374@college.edu
2026EE1375,Student_Name_375,EE,4,EE408,student375@college.edu
2026CE1376,Student_Name_376,CE,2,CE101,student376@college.edu
2026CE1377,Student_Name_377,CE,1,CE101,student377@college.edu
2026IT1378,Student_Name_378,IT,4,IT302,student378@college.edu
2026CE1379,Student_Name_379,CE,2,CE101,student379@college.edu
2026IT1380,Student_Name_380,IT,4,IT302,student380@college.edu
2026IT1381,Student_Name_381,IT,4,IT302,student381@college.edu
2026ME1382,Student_Name_382,ME,4,ME205,student382@college.edu
2026EE1383,Student_Name_383,EE,2,EE408,student383@college.edu
2026ME1384,Student_Name_384,ME,1,ME205,student384@college.edu
2026EE1385,Student_Name_385,EE,2,EE408,student385@college.edu
2026CS1386,Student_Name_386,CS,3,CS401,student386@college.edu
2026CE1387,Student_Name_387,CE,1,CE101,student387@college.edu
2026ME1388,Student_Name_388,ME,3,ME205,student388@college.edu
2026ME1389,Student_Name_389,ME,4,ME205,student389@college.edu
2026EE1390,Student_Name_390,EE,1,EE408,student390@college.edu
2026ME1391,Student_Name_391,ME,2,ME205,student391@college.edu
2026CS1392,Student_Name_392,CS,1,CS401,student392@college.edu
2026CE1393,Student_Name_393,CE,2,CE101,student393@college.edu
2026ME1394,Student_Name_394,ME,3,ME205,student394@college.edu
2026EE1395,Student_Name_395,EE,1,EE408,student395@college.edu
2026CS1396,Student_Name_396,CS,2,CS401,student396@college.edu
2026EE1397,Student_Name_397,EE,3,EE408,student397@college.edu
2026EE1398,Student_Name_398,EE,4,EE408,student398@college.edu
2026CE1399,Student_Name_399,CE,2,CE101,student399@college.edu
2026EE1400,Student_Name_400,EE,1,EE408,student400@college.edu
2026CE1401,Student_Name_401,CE,3,CE101,student401@college.edu
2026CS1402,Student_Name_402,CS,4,CS401,student402@college.edu
2026CS1403,Student_Name_403,CS,1,CS401,student403@college.edu
2026EE1404,Student_Name_404,EE,4,EE408,student404@college.edu
2026CS1405,Student_Name_405,CS,2,CS401,student405@college.edu
2026CS1406,Student_Name_406,CS,4,CS401,student406@college.edu
2026ME1407,Student_Name_407,ME,4,ME205,student407@college.edu
2026ME1408,Student_Name_408,ME,2,ME205,student408@college.edu
2026CS1409,Student_Name_409,CS,4,CS401,student409@college.edu
2026CS1410,Student_Name_410,CS,3,CS401,student410@college.edu
2026CE1411,Student_Name_411,CE,2,CE101,student411@college.edu
2026CS1412,Student_Name_412,CS,1,CS401,student412@college.edu
2026CS1413,Student_Name_413,CS,4,CS401,student413@college.edu
2026IT1414,Student_Name_414,IT,3,IT302,student414@college.edu
2026ME1415,Student_Name_415,ME,3,ME205,student415@college.edu
2026CS1416,Student_Name_416,CS,3,CS401,student416@college.edu
2026CE1417,Student_Name_417,CE,4,CE101,student417@college.edu
2026IT1418,Student_Name_418,IT,4,IT302,student418@college.edu
2026EE1419,Student_Name_419,EE,1,EE408,student419@college.edu
2026ME1420,Student_Name_420,ME,2,ME205,student420@college.edu
2026EE1421,Student_Name_421,EE,3,EE408,student421@college.edu
2026IT1422,Student_Name_422,IT,3,IT302,student422@college.edu
2026IT1423,Student_Name_423,IT,3,IT302,student423@college.edu
2026IT1424,Student_Name_424,IT,4,IT302,student424@college.edu
2026CS1425,Student_Name_425,CS,1,CS401,student425@college.edu
2026ME1426,Student_Name_426,ME,4,ME205,student426@college.edu
2026CS1427,Student_Name_427,CS,4,CS401,student427@college.edu
2026CE1428,Student_Name_428,CE,1,CE101,student428@college.edu
2026CS1429,Student_Name_429,CS,1,CS401,student429@college.edu
2026ME1430,Student_Name_430,ME,4,ME205,student430@college.edu
2026EE1431,Student_Name_431,EE,4,EE408,student431@college.edu
2026ME1432,Student_Name_432,ME,3,ME205,student432@college.edu
2026ME1433,Student_Name_433,ME,4,ME205,student433@college.edu
2026IT1434,Student_Name_434,IT,2,IT302,student434@college.edu
2026CS1435,Student_Name_435,CS,3,CS401,student435@college.edu
2026IT1436,Student_Name_436,IT,4,IT302,student436@college.edu
